did,mid,medicine
657,657,T- Endotracheal intubation and mechanical ventilation 
658,658,T-Self Help
659,659,Consult your doctor
660,660,M-ceftriaxone or clindamycin
661,661,"M-Intravenous fluids, dialysis, hemofiltration"
662,662,"M-Medication Pain medications, steroids, Nonsteroidal anti-inflammatory drugs"
663,663,T-Surgical excision
664,664,Consult your doctor
665,665,M-Nonsteroidal anti-Inflammatory drug and Analgesic
666,666,M- antibiotics doxycycline
667,667,"T-Physical Theraphy,Steroid, Surgery"
668,668,T-increased fluid intake (oral rehydration) to prevent dehydration
669,669,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
670,670,"T-Antibiotics,Fluids and Antimotility drugs"
671,671,Consult your doctor
672,672,T-Antibiotics
673,673,Consult your doctor
674,674,M- penicillin.
675,675,M-Praziquante
676,676,"T-Psychotherapy, Psychoeducation, and Family therapy"
677,677,"T-Psychotherapy, Psychoeducation, and Family therapy"
678,678,Consult a NeuroSurgeon
679,679,M- ursodeoxycholic acid (UDCA)
680,680,Consult your doctor
681,681,M-Nonsteroidal anti-Inflammatory drug
682,682,T-Radical inguinal orchiectomy or Chemotherapy
683,683,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
684,684,T-Home Care
685,685,"T- ‎Heating pad, medication"
686,686,T-Antibiotics
687,687,Consult your doctor
688,688,Consult your doctor
689,689,"M-Vancomycin, ceftriaxone, ceftazidime["
690,690,M-Intravenous (IV) antibiotics
691,691,M-Intravenous (IV) antibiotics
692,692,Consult your doctor
693,693,"M-Benzodiazepines, cyproheptadine"
694,694,Consult your doctor
695,695,Consult your doctor
696,696,Consult your doctor
697,697,M-Fluid and salt replacement
698,698,"M-Antiviral drug, Anaesthetic, Nonsteroidal anti-Inflammatory drug"
699,699,T-More Salt and Water
700,700,Consult your doctor
701,701,"M- hydration, moist heat therapy, NSAIDs "
702,702,"M-acetaminophen, nonsteroidal anti-inflammatory drugs (NSAIDs)"
703,703,"M-acetaminophen, nonsteroidal anti-inflammatory drugs (NSAIDs)"
704,704,"M-Decongestant, Penicillin antibiotic, Antibiotics, Steroid, Cough medicine"
705,705,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
706,706,M-cyclosporine (Restasis) or lifitegrast (Xiidra)
707,707,T-Cutting it open
708,708,M-anti-inflammatory medications 
709,709,Consult your doctor
710,710,M-acetaminophen (Tylenol)
711,711,Consult your doctor
712,712,T-Radiation Therapy and Chemotherapy
714,714,No Treatment
715,715,Consult your doctor
716,716,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
717,717,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
718,718,"M-acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin IB, others)"
719,719,"M-Antihistamine, Nonsteroidal anti-Inflammatory drug, and Analgesic"
720,720,T-laminectomy
721,721,Consult a NeuroSurgeon
722,722,Consult a NeuroSurgeon
723,723,ibuprofen (Motrin®) or naproxen (Aleve® or Naprosyn®)
724,724,RICE Thaerapy
725,725,T-Radiation Therapy and Chemotherapy
726,726,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
727,727,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
728,728,T-Fluid replacement and nutrition and Eye care
729,729,T-rehabilitation exercises or physical therapy 
730,730,Consult your doctor
731,731,M- penicillin and amoxicillin 
732,732,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
733,733,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
734,734,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
735,735,T-Treatment Neurosurgery or radiologically guided interventions
736,736,"T-Burr hole trephination,Craniotomy"
737,737,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
738,738,Consult your doctor
739,739,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
740,740,Surgery
741,741,M-anti-itch lotion or corticosteroid cream
742,742,Consult your doctor
743,743,M-Penicillin antibiotic and Antibiotics
744,744,T- Supportive care
745,745,M-Antiarrhythmic drugs
746,746,T- wash the bite with soap and water
747,747,Surgery
748,748,M- aspirin
749,749,Consult a NeuroSurgeon
750,750,"M-Non-steroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen (Advil, Motrin IB, others)"
751,751,"M-Non-steroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen (Advil, Motrin IB, others)"
752,752,"M-nonsteroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen (Advil),"
753,753,Surgery
754,754,"T-Surgery, Inguinal orchiectomy and Retroperitoneal lymph node dissection"
755,755,Surgery
756,756,Consult a NeuroSurgeon
757,757,"T-Physical therapy,Medications"
758,758,Consult a Doctor
759,759,T-Sistrunk Procedure
760,760,M-non-steroidal anti-inflammatory medications
761,761,Consult a Doctor
762,762,M- Encepur N and FSME-Immun CC
763,763,"M-creams, lotions, or shampoos "
764,764,T-Antibiotics
765,765,Consult a Doctor
766,766,T-Radiation Therapy and Chemotherapy
767,767,T-Radiation Therapy and Chemotherapy
768,768,"M-Paracetamol (acetaminophen), ibuprofen, penicillin["
769,769,"M-Anaesthetic, Steroid, and Anti-Inflammatory"
770,770,Consult a Doctor
771,771,T-Physical Therapy
772,772,T-Labor induction and Ceaserian Section
773,773,T-Surgery 
774,774,"M-Pyrimethamine (Daraprim),Sulfadiazine"
775,775,M – Antiplatelet medications(aspirin)
776,776,"T – Intravenous (IV — into the vein), Plasma exchange (PLEX)"
777,777,Consult doctor 
778,778,"T - brachial plexus injury repair, carpal tunnel release, nerve entrapment surgery, nervesheath"
779,779,T - lumbar puncture or spinal tap
780,780,"M – Mebendazole, Albendazole"
781,781,M – Vaginal metronidazole creams and pessaries
782,782,"M – oxcarbazepine (Trileptal), gabapentin (Neurontin)"
783,783,"M – Ethambutol, Isoniazid"
784,784,"T – treatment with antibiotics, and that they may require surgery"
785,785,Consult doctor 
786,786,"T - antibiotics, it is important to rehydrate by drinking adequate water"
788,788,M – Anti-inflammatories (corticosteroids and aminosalicylates)
789,789,"M – Beta Blockers,oral anti-platelet medicines"
790,790,"M – Antibiotics, Over-the-counter cough medicine"
791,791,Consult doctor 
792,792,"M – Azithromycin, doxycyclin – Consult Doctor "
793,793,M -  Nitrofurantoin and trimethoprim/sulfamethoxazole 
794,794,Consult doctor 
795,795,"T - bladder drainage, surgery (Consult Doctor)"
796,796,"M – Antibiotics, food(peanuts, eggs, nuts and shellfish)"
797,797,Consult doctor 
798,798,Consult doctor 
799,799,M – Eye drop
800,800,Go to local places or to your Doctor
801,801,M - A water-soluble vaginal lubricant
802,802,Consult doctor 
803,803,T - The best management of a foreign body is removal
805,805,"M – Antibiotics, ceftriaxone (Rocephin), erythromycin"
807,807,T – Varicoceles require no treatment. Cases in which symptoms occur can be repaired surgically.
808,808,"T – Take pain relievers such as acetaminophen, ibuprofen"
809,809,Consult doctor 
810,810,"M – Cortisone-related medications, such as prednisone "
811,811,M – Fludrocortisone acetate and Consult doctor
812,812,Consult doctor 
813,813,Consult doctor 
814,814,Consult doctor 
815,815,"T – Quit Smoking, loose weight"
816,816,T – Prochlorperazine and some antihistamines
817,817,T - Take tissue from your body to close the fistula
818,818,"M -  Vestibular neuritis, antiviral medicine such as acyclovir"
819,819,M – Cephalosporin and a tetracycline
820,820,Consult doctor 
821,821,"T - Reatment, and vaccine strategies"
822,822,M – Antibiotics
823,823,Consult doctor 
824,824,Consult doctor 
825,825,"T – Voice therapy, surgery"
826,826,"T – Sigmoidoscopy, Cecal volvulus"
827,827,Consult doctor 
828,828,T – Treatment of the underlying Waldenström
829,829,T – Counselling
830,830,T – Treat or prevent blood clots in veins or arteries
832,832,M – Immunosuppressants such as rituximab or cyclophosphamide and high dose corticosteroids
833,833,T - Most people recover from West Nile virus without treatment
834,834,"T - Analgesic, Nonsteroidal anti-Inflammatory drug, Muscle Relaxant, and Narcotic"
835,835,Consult doctor 
836,836,Consult doctor 
837,837,"M – Diuretics, Diazepam and veterinarian"
838,838,Consult doctor 
839,839,"M -  fomepizole, ethanol"
840,840,M – Antifungal Cream
841,841,Consult doctor 
842,842,T - no treatment is necessary(neck surgery for worse case)
848,848,"M - Epilepsy drugs are prescribed to control seizures, and rarely surgery is necessary if medications are ineffective"
849,849,"M - Sitz baths, Vitamin C and zinc supplements"
851,851,Consult doctor 
852,852,Consult doctor 
853,853,"T -  primary-care providers, including pediatricians, family practitioners"
854,854,Consult doctor 
855,855,M - antiviral drug ribavirin
856,856,Consult doctor 
857,857,No Treatment
858,858,M - Prednisone is the drug of choice for PMR
859,859,Consult doctor 
860,860,M – Analgesic and Nonsteroidal anti-Inflammatory drug
861,861,Consult doctor 
862,862,Consult doctor 
863,863,Consult doctor 
864,864,Consult doctor 
865,865,T - injuries can recover with time and therapy
866,866,Consult doctor 
867,867,"T - quitting smoking, losing weight, eating healthy "
868,868,Consult doctor 
869,869,Consult doctor 
870,870,Consult doctor 
871,871,Consult doctor (surgery may be)
872,872,"T - Physical Therapy, Occupational Therapy, Speech Therapy"
873,873,T - Cerebral aneurysmbrain artery dilation
874,874,Consult doctor 
875,875,Consult doctor 
876,876,"M - aggressive antibiotics, generally given intravenously, usually for 4-6 weeks"
877,877,M - Treatment can include topical creams or oral medication
878,878,T - Stimulant medications are the pharmaceutical treatment of choice
879,879,M – Eye drops
881,881,"T – Mouth Guard, Changing habit"
882,882,"T - Prevent contaminated irrigation solution from running onto unaffected skin, Remove contaminated clothes"
883,883,"M - Use non-aspirin medications, such as acetaminophen, to relieve fever from chickenpox"
884,884,T - Shampoo 2 Or 3 Times A Week
885,885,"M – Acetaminophen, ibuprofen (Advil, Motrin) "
886,886,T - Surgically moving the testicle into the scrotum
887,887,"T - Speech-language pathologists, Reading specialists"
888,888,"T - scheduled sitting times, typically after meals"
889,889,T - involve your health-care professional is variable 
890,890,Consult doctor 
891,891,T – Therapies
892,892,Treatment is urgent and delays can be fatal
893,893,T - usually treated with an antibiotic ointment such as a nonprescription triple-antibiotic mixture
894,894,Consult doctor 
895,895,T - See your doctor if you experience any of the signs and symptoms of hereditary hemochromatosis
896,896,Consult doctor 
897,897,Consult doctor 
898,898,Consult doctor 
899,899,T -  moisturizing lotions or creams may help your skin look and feel better
900,900,T - Over-the-counter (OTC) or prescription medications
901,901,T - improving the personal hygiene of the infested person
902,902,M - A lice-killing lotion containing 1% permethrin or a mousse containing pyrethrins and piperonyl butoxide
903,903,"T - Liver biopsy, Genetic testing"
904,904,Consult doctor 
905,905,T - Antibiotics treat erysipelas. The exact type will depend on what germ is causing the problem.
906,906,M - Antibiotic Treatment
907,907,T - requires 3–6 months of treatment
908,908,T - Intravenous fluid therapy
909,909,Consult doctor 
910,910,T – Counselling
911,911,T - Strict hygiene measures can remedy pinworm infection
912,912,Consult doctor 
913,913,Most of them disappear on their own by the time the child is five years old
914,914,Consult doctor 
915,915,"M - Anti-inflammatory medicines, Nasal wash with salt water"
916,916,T – Doctor will probably prescribe fungi-killing oral medication and medicated shampoo
917,917,T – Doctor will probably prescribe fungi-killing oral medication
918,918,Consult doctor 
919,919,"T - if the skin bleeds, develops cracks, then consult the doctor"
920,920,T - Options to control itchiness include antihistamines and prescription anti-inflammatory agents
921,921,"T - Medication, electric shock or procedures that destroy abnormal tissue in the heart may be used to restore a normal heartbeat"
922,922,M - Bismuth subsalicylate is also used to prevent traveler's diarrhea
923,923,Consult doctor 
924,924,Consult doctor 
925,925,T - Early treatment with medication like tPA (clot buster) can minimise brain damage
926,926,T – No treatment or eye drop 
927,927,"T – Counselling, changing habit"
929,929,M - Mexiletine
930,930,"T – Avoid squeezing or irritating a carbuncle, which increases the risk of complications and severe scarring"
931,931,Consult doctor 
932,932,"T – For anything more than a superficial scratch, treatment includes applying pressure to stop the bleeding, cleaning the wound and seeking medical attention"
933,933,"T – For anything more than a superficial scratch, treatment includes applying pressure to stop the bleeding, cleaning the wound and seeking medical attention"
934,934,T - Massage can relieve cramping pain. Stretches and hydration during exercise or work can prevent a Charley horse
935,935,"T - vigorously rehydrate the patient while maintaining electrolyte homeostasis, correct hyperglycemia"
936,936,T - Most birthmarks need no treatment
937,937,T - Treatment focuses on managing complications
938,938,Consult doctor 
939,939,Consult doctor 
940,940,"T - Most common warts go away without treatment, though it may take a year or two and new ones may develop nearby"
941,941,T - Rates of recurrence are variously reported
942,942,M – Antifungal Cream
943,943,"T - Newer Osteoporosis Medications, Diet"
944,944,"T - Some antiviral drugs, if taken within two days of symptoms, may help"
945,945,M – Antifungal Cream
946,946,T - Avoid activities that require you to keep your arm bent for long periods of time
947,947,Consult doctor 
948,948,Consult doctor 
949,949,M – Antifungal Cream
950,950,"Tick bite are often harmless, clean the bite site with soap and water"
951,951,T - commonly treated by an infectious-disease specialist
952,952,Consult doctor 
953,953,"M - Treatment is with penicillin, ampicillin, tetracycline, or co-trimoxazole for one to two years"
954,954,"T - Cardiopulmonary resuscitation (CPR) is necessary for near drowning, as complications can be fatal"
955,955,"M - Treatment includes antibiotics. Even when treated with antibiotics, the infection may come back"
956,956,"T - get out of the water, remove your bathing suit and shower immediately"
957,957,Consult doctor 
958,958,Consult doctor 
960,960,M - Treatment includes pain relievers and creams to relieve itching
961,961,M - Take ibuprofen or acetaminophen to relieve pain
962,962,Consult doctor 
963,963,T - Reduce sporting activities as needed based on pain
964,964,Consult doctor 
965,965,T - Regular doctor visits can help you
966,966,"T - There are a range of treatments for AA, but none are effective for everyone "
967,967,T - A single dose of an oral antifungal drug or application of an antifungal cream for one to three days cures mild infections
968,968,T - Regular doctor visits can help you
969,969,"M - cholinesterase inhibitors (Aricept, Exelon, Razadyne) and memantine (Namenda)"
971,971,T - Treatment focuses on removing the warts
972,972,T - Patients suffering from erectile dysfunction should first be evaluated for any underlying physical and psychological conditions
973,973,Consult doctor 
974,974,"T - treatment methods can include medications, physical therapy, and steroid injections"
975,975,Consult doctor 
977,977,"T - Common moles do not need to be removed. However, some people choose to have them removed for cosmetic reasons"
978,978,Consult doctor 
979,979,Consult doctor 
980,980,Consult doctor 
981,981,Consult doctor 
982,982,T -  hospital emergency
983,983,T - go to a protected environment and get warm fluids
984,984,"T - avoid wearing dirty socks to bed, take off your socks, dry your feet thoroughly"
985,985,Consult doctor 
986,986,"T - Treatment for gangrene involves removing the dead tissue, treating and preventing the spread of infection"
987,987,Most food poisoning is mild and resolves without treatment
988,988,"Treatment can help, but this condition can't be cured"
989,989,Consult doctor 
990,990,Consult doctor 
991,991,Do not require any specific treatment
992,992,T - Treatable by a medical professional
993,993,Consult doctor 
994,994,"Treatment can help, but this condition can't be cured"
995,995,"Treatment can help, but this condition can't be cured"
997,997,"T - There is no cure for sarcoidosis, but the disease may get better on its own over time"
998,998,Sudden unexplained death of a child less than one year of age
999,999,T - Usually self-treatable
1000,1000,M – Antibiotics alone can be inadequate in treating abscesses
1001,1001,T – Most important action is to ensure a free airway
1002,1002,M - Antibiotics may be prescribed in some cases
1003,1003,Consult doctor 
1004,1004,Consult doctor 
1006,1006,T - Flu is primarily treated with rest and fluid intake to allow the body to fight the infection on its own
1007,1007,Consult doctor 
1008,1008,Consult doctor 
1009,1009,Consult doctor 
1010,1010,"Treatment can help, but this condition can't be cured"
1011,1011,"Pick a Sunday to take your first pill, so that you do not have periods on the weekends, further go through the internet"
1012,1012,Consult doctor 
1013,1013,Consult doctor 
1014,1014,Consult doctor 
1015,1015,Consult doctor 
1016,1016,Consult doctor 
1017,1017,Consult doctor 
1018,1018,Consult doctor 
1019,1019,Consult doctor 
1020,1020,Consult doctor 
1021,1021,Consult doctor 
1022,1022,Treatable by a medical professional
1023,1023,Treatable by a medical professional
1024,1024,"Treatment can help, but this condition can't be cured"
1025,1025,"Very Common, Treatable by a medical professional"
1026,1026,"T - Symptomatic treatment can be given by blood transfusion, if there is marked anemia"
1027,1027,Treatable by a medical professional
1028,1028,Treatable by a medical professional
1029,1029,Treatable by a medical professional
1030,1030,"Treatment can help, but this condition can't be cured, Requires a medical diagnosis"
1031,1031,T – Acute adrenal insufficiency is a medical emergency and needs to be treated with injectable hydrocortisone and fluid support
1032,1032,Requires a medical diagnosis
1033,1033,"Treatment can help, but this condition can't be cured, Requires a medical diagnosis"
1034,1034,"Treatments vary and can include antihistamines, steroids and avoiding allergens"
1035,1035,Treatable by a medical professional
1036,1036,"Typically, no treatment is required for bedbug bites, If itching is severe topical steroid creams or oral antihistamines may be used for symptom relief"
1037,1037,"Spreads easily, Treatable by a medical professional, Usually self-diagnosable"
1038,1038,"Treatment can help, but this condition can't be cured, Requires a medical diagnosis"
1039,1039,"Treatable by a medical professional, Requires a medical diagnosis"
1040,1040,T - Treatment is usually delayed until the patient is ready to start sexual activity.
1041,1041,"Usually self-treatable, Usually self-diagnosable"
1042,1042,Treatable by a medical professional
1043,1043,Treatment depends entirely on the type of hyperparathyroidism encountered
1044,1044,"Treatment can help, but this condition can't be cured, Usually self-diagnosable"
1045,1045,"Usually self-treatable, Usually self-diagnosable"
1046,1046,"Treatment can help, but this condition can't be cured, Requires a medical diagnosis"
1047,1047,M - DermNet NZ
1049,1049,Treatable by a medical professional
1050,1050,Treatable by a medical professional
1051,1051,T - can be treated with supplemental oxygen and methylene blue
1052,1052,"T - aspirin is indicated, and a carotid endarterectomy considered based on the location and grade of the stenosis"
1053,1053,Treatable by a medical professional (Surgical Therapy)
1054,1054,Treatable by a medical professional
1055,1055,"T - Antibiotics are used to treat most wound infections. Sometimes, you also may need surgery to treat the infection."
1056,1056,Treatable by a medical professional(Vascular Surgery)
1057,1057,"Treatment can help, but this condition can't be curedRequires a medical diagnosis"
1058,1058,"T - Treatable by a medical professional, Requires a medical diagnosis"
1059,1059,A ruptured spleen is a medical emergency
1060,1060,"T – In severe liver injuries (class ≥III), or those with hemodynamic instability, surgical correction is generally necessary"
1061,1061,"M - DTPA (Diethylenetriamine pentaacetate), Filgrastim (Neupogen), Potassium Iodide (KI)"
1062,1062,"Treatment can help, but this condition can't be cured, Requires a medical diagnosis"
1063,1063,"Treatable by a medical professional, Requires a medical diagnosis"
1064,1064,T -  Rubbing a finger gently along the gums in search for swollen ridges or the feel of a tooth below the gums is one way to be certain. If unsure
1065,1065,"Treatable by a medical professional, Spreads by animals or insects, Requires a medical diagnosis"
1066,1066,T - surgical removal of all or part of the colon
1067,1067,Consult doctor 
1068,1068,Treatable by a medical professional
1069,1069,"T - In immunocompromised patients, prophylaxis with co-trimoxazole, atovaquone, or regular pentamidine inhalations may help prevent PCP"
1070,1070,"T - to sit while urinating, to sit on the edge of the bed for a while before getting up and going to the toilet, to urinate before sleep"
1071,1071,Consult doctor 
1072,1072,T - Epiploic appendagitis is self-limiting and can be managed conservatively with NSAIDs
1073,1073,Consult doctor 
1074,1074,"Treatable by a medical professional, Spreads by animals or insects"
1075,1075,"T - The best treatment is to avoid the provoking allergen, as chronic exposure can cause permanent damage"
1076,1076,Treatable by a medical professional
1077,1077,Treatable by a medical professional
1078,1078,"T – Fleabites will go away without treatment. However, in order to stop being bitten you have to stop the fleas."
1079,1079,"Treatable by a medical professional, Usually self-diagnosable"
1080,1080,"Treatment can help, but this condition can't be cured, Requires a medical diagnosis"
1081,1081,Requires a medical diagnosis
1082,1082,"T - plasmapheresis, a procedure in which the affected person's blood is sent through a centrifuge and the various components separated based on weight"
1083,1083,Consult doctor 
1084,1084,"Usually self-treatable, Usually self-diagnosable"
1090,1090,"Treatable by a medical professional, Requires a medical diagnosis"
1091,1091,"Treatable by a medical professional, Requires a medical diagnosis"
1092,1092,"T – If infection occurs or is suspected, treatment is generally with the antibiotics streptomycin or gentamicin"
1093,1093,"Treatable by a medical professional, Requires a medical diagnosis"
1094,1094,Consult doctor 
1095,1095,T - The vaccine is approved by the Food and Drug Administration
1096,1096,"Treatment can help, but this condition can't be cured, Requires a medical diagnosis"
1097,1097,Usually self-diagnosable
1098,1098,T - More than 90 percent of people get better with nonsurgical treatments
1099,1099,"T - Treatment can be challenging, and there's no cure for Lewy body dementia"
1100,1100,T - Primary neuropathy of facial nerve at the time of injury. Interpositional graft by using sural or greater auricular nerve grafts.
1102,1102,"Treatable by a medical professional, Requires a medical diagnosis"
1103,1103,Consult doctor 
1106,1106,M - Synovitis symptoms can be treated with anti-inflammatory drugs such as NSAIDs
1108,1108,"Treatable by a medical professional, Requires a medical diagnosis"
1111,1111,"Treatable by a medical professional, Requires a medical diagnosis"
1112,1112,"Treatable by a medical professional, Requires a medical diagnosis"
1113,1113,"T - If not treated, pemphigus can be fatal, usually from overwhelming opportunistic infection of lesions."
1114,1114,"Treatable by a medical professional, Requires a medical diagnosis"
1115,1115,"Treatable by a medical professional, Requires a medical diagnosis"
1116,1116,T - An otherwise healthy person who is not pregnant typically does not need treatment
1118,1118,T - They often heal on their own
1119,1119,Consult doctor 
1121,1121,Consult doctor 
1124,1124,"T - There are no permanent cures for urticaria pigmentosa. However, treatments are possible."
1125,1125,"T - reatment for jellyfish includes first-aid care and medical treatment, depending on the type of jellyfish, the severity of the sting and your reaction to it"
1126,1126,Consult doctor 
1127,1127,"Treatable by a medical professional, Requires a medical diagnosis"
1128,1128,"Treatable by a medical professional, Requires a medical diagnosis"
1129,1129,Consult doctor 
1130,1130,Consult doctor 
1131,1131,T - idiopathic livedo reticularis may improve with warming the area
1132,1132,"T - The initial treatment for both traumatic and degenerative TFCC lesions, with a stable DRUJ"
1133,1133,Consult doctor 
1134,1134,Consult doctor 
1135,1135,T - Aponeurotic and congenital ptosis may require surgical correction if severe enough to interfere with vision or if cosmetics is a concern
1136,1136,"Treatable by a medical professional, Usually self-diagnosable"
1137,1137,T – Treatment of CRPS often involves a number of modalities
1138,1138,"Treatment can help, but this condition can't be cured, Requires a medical diagnosis"
1139,1139,"Treatment can help, but this condition can't be cured, Requires a medical diagnosis"
1140,1140,"Treatable by a medical professional, Requires a medical diagnosis"
1141,1141,Consult doctor 
1142,1142,"T - Eat slowly, Cut food into small pieces and chew it thoroughly"
1143,1143,"T - The first line treatment for polymyositis is corticosteroids, Specialized exercise therapy may supplement treatment to enhance quality of life"
1144,1144,T - Treatment for bullous myringitis usually includes over-the-counter pain relievers and antibiotics. Both of these can be taken either by mouth or in eardrops
1145,1145,T - Surgical treatment of CVI attempts a cure by physically changing the veins with incompetent valves
1146,1146,T - Treated by speech language pathologists
1147,1147,"Treatment can help, but this condition can't be cured, Requires a medical diagnosis"
1148,1148,Consult doctor 
1149,1149,A dislocated lens usually is not treated
1150,1150,"Treatable by a medical professional, Requires a medical diagnosis"
1151,1151,Treatable by a medical professional
1152,1152,The patient needs urgent examination by an ophthalmologist
1153,1153,Treatable by a medical professional
1154,1154,Consult doctor 
1155,1155,"Usually self-treatable, Usually self-diagnosable"
1156,1156,Treatable by a medical professional
1157,1157,Consult doctor 
1158,1158,"M -  paroxetine or dapoxetine, as well as clomipramine"
1159,1159,"Treatable by a medical professional, Requires a medical diagnosis"
1161,1161,"T-carbogen inhalation, acetazolamide infusion, ocular massage"
1163,1163,"M-clindamycin,cephalosporins,metronidazole "
1164,1164,"M-Antidepressants,benzodiazepines"
1165,1165,"M-tissue plasminogen activator (t-PA),apixaban"
1166,1166,"T-compression stockings,Sclerotherapy"
1167,1167,"M-Ethosuximide,Valproic acid,Lamotrigine"
1168,1168,"M-brimonidine, Doxycycline,Isotretinoin"
1169,1169,"T-Taking insulin,activity,Healthy eating and monitoring carbohydrates"
1170,1170,M-antibiotics
1171,1171,"M- lansoprazole,antibiotics,metronidazole"
1176,1176,"M-Decongestants,Antihistamines,Nasal steroid sprays,septoplasty can be done"
1177,1177,"T-applying gentle suction to the object, irrigating the ear"
1178,1178,T Laparoscopic incisional hernia repair
1179,1179,"T-Radiotherapy,Sclerotherapy,Radiosurgery"
1180,1180,"M- ibuprofen, Methotrexate, prednisone"
1181,1181,"M-Statins, Ezetimibe,niacin, gemfibrozil "
1182,1182,"T-Freezing with liquid nitrogen,electrocautery,curettage"
1183,1183,"M- hydrocortisone, fluocinolone, 2 percent ketoconazole"
1184,1184,"M-Fluorouracil cream,Imiquimod cream,Diclofenac gel"
1185,1185,"T-compression bandage or stocking, topical or oral antibiotics"
1186,1186,"M-trichloroacetic acid,cantharidin,  T-cryotherapy, laser therapy"
1187,1187,"M-propranalol, Oral corticosteroids, Surgical removal"
1188,1188,"M-azoles and the allylamines,Haloprogin"
1189,1189,"T-Do not try to drain the blister ,use an antibacterial ointment in case it breaks"
1190,1190,"M-Ciclopirox,Fluconazole,Itraconazole"
1191,1191,"T-Hysterectomy,Cervicectomy, chemotherapy or radiation"
1192,1192,"M-Anticholinergics,Tricyclic antidepressants,Alpha-adrenergic antagonists"
1193,1193,"T-radiotherapy, intralesional steroids, or surgical excision"
1194,1194,"M-thiothixene,Antiepileptic,shaloperidol, buspirone"
1195,1195,"T-lid massage, moist heat, and topical mild steroid drops"
1196,1196,"M-decongestant pill or nasal spray,antihistamines,"
1197,1197,"M-ceftazidime,ciprofloxacin ,gentamicin"
1198,1198,"T-Corrective lenses,Refractive surgery"
1199,1199,M-steroid ointment
1200,1200,"M-anti-inflammator and analgesic medications,activity"
1201,1201,"M-Acetaminophen,Opioids,Lidocaine"
1202,1202,"M-hepatitis B immunoglobulin,Antiviral medicine"
1203,1203,"M-Pegylated interferon,EPCLUSA,Ribavirin"
1204,1204,"M-epinephrine ,anti-inflammatory medications"
1205,1205,M- vitamin B12 injections of hydroxycobalamin
1206,1206,"T-oxygen therapy, dialysis"
1207,1207,"M- Valium, Elavil "
1208,1208,"M-Hydrocortisone topical,Nystatin,Bacitracin"
1209,1209,"M-ibuprofen,advice to stay active,paracetamol,colchicine"
1210,1210,"M-acetaminophen,Epidural injections,Massage,TENS units"
1211,1211,M- anti-inflammatory drugs and analgesics
1212,1212,"M-cephalosporins,carbapenems,meropenem/vaborbactam"
1213,1213,"T-conservative surgery, and mastoidectomy"
1214,1214,"M-acetaminophen,Using crutches and/or splints"
1215,1215,"T-chemotherapy(Induction,Consolidation)"
1216,1216,"M-chlorpromazine, flupenthixol,clozapine, olanzapine"
1217,1217,"M- desmopressin, thalidomide, aminocaproic acid and estrogens"
1218,1218,M- acetaminophen
1219,1219,"T-Aspiration,Surgery,Immobilization"
1220,1220,"M- amitriptyline or nortriptyline, carbamazepine"
1221,1221,"T-compression stockings,Sclerotherapy"
1222,1222,"M-Pyrithione zinc shampoos,Selenium sulfide shampoos"
1223,1223,"M-Blinatumomab,Tisagenlecleucel,Vincristine"
1224,1224,T-Chemotherapy and Blood transfusion
1225,1225,"M- imatinib mesylate, nilotinib ,bone marrow or stem cell transplantation"
1226,1226,"M-Ibuprofen,Ampicillin, splint or cast is used"
1227,1227,"T-Surgica Intervention,  M-Codeine/acetaminophen"
1228,1228,"T-Open Reduction and Internal Fixation, M-Ibuprofen,Acetaminophen"
1229,1229,"M-Midazolam,Morphine,  T-Reduction  "
1230,1230,"M-intravenous morphine (0.1 mg/kg q2-4h),Oxycodone and aspirin,ibuprofen,"
1231,1231,"M-anesthetic injection into the finger,buddy taped"
1232,1232,"M- ibuprofen,Acetaminophen, T-Physical therapy,surgery may be needed"
1233,1233,"M-cyclosporin, immunoglobulin, levamisole,Acyclovir"
1234,1234,"M-Ibuprofen,Tricyclic antidepressants,Oral opioids,Cyclobenzaprine "
1235,1235,"M-anti-inflammatory drugs and cortisone,Colchicine"
1237,1237,"M- ibuprofen, T-draining seroma,minor surgery"
1239,1239,"T-corticosteroid injections,fasciectomy,Needle aponeurotomy"
1240,1240,"M- trimethoprim-sulfamethoxazole 160/800, oral tablet, twice a day for seven to 10 days"
1241,1241,"M-fluoxetine,sertraline ,paroxetine "
1243,1243,T-mechanical ventilation and intensive-care-unit support
1245,1245,"M- minoxidil, finasteride"
